Aerospace Engineering BS,8
African American Studies BA,5
African and Middle Eastern Studies BA,21
American Indian Studies BA,5
American Literature and Culture BA,2
Ancient Near East and Egyptology BA,9
Anthropology BA,1
Anthropology BS,6
Business Economics BA,5
Economics BA,5
Applied Linguistics BA,15
Applied Mathematics BS,5
Statistics BS,2
Arabic BA,9
Architectural Studies BA,1
Art BA,3
Art History BA,3
Asian American Studies BA,1
Asian Humanities BA,5
Asian Languages and Linguistics BA,6
Asian Religions BA,5
Chinese BA,0
Japanese BA,0
Korean BA,0
Asian Studies BA,18
Astrophysics BS,5
Biophysics BS,5
Physics BA,4
Physics BS,4
Atmospheric and Oceanic Sciences BS,9
Atmospheric and Oceanic Sciences/Mathematics BS,5
Climate Science BS,8
Biochemistry BS,4
Chemistry BS,3
Chemistry/Materials Science BS,5
General Chemistry BS,3
Bioengineering BS,9
Biology BS,5
Central and East European Languages and Cultures BA,10
Chemical Engineering BS,10
Chicana and Chicano Studies BA,2
Civil Engineering BS,13
Classical Civilization BA,3
Greek BA,3
Greek and Latin BA,4
Latin BA,3
Cognitive Science BS,10
Communication Studies BA,9
Comparative Literature BA,2
Computational and Systems Biology BS,11
Computer Engineering BS,8
Computer Science BS,8
Computer Science and Engineering BS,8
Dance BA,3
World Arts and Cultures BA,3
Design | Media Arts BA,2
Earth and Environmental Science BA,6
"Ecology, Behavior, and Evolution BS",5
Electrical Engineering BS,6
Engineering Geology BS,7
English BA,2
Environmental Science BS,14
Ethnomusicology BA,2
European Studies BA,29
Film and Television BA,2
Financial Actuarial Mathematics BS,5
French BA,1
French and Linguistics BA,2
Gender Studies BA,1
Geology BS,5
Geophysics BS,3
Geography BA,2
Geography/Environmental Studies BA,2
German BA,1
Global Jazz Studies BA,3
Global Studies BA,29
Portuguese BA,1
Spanish BA,1
Spanish and Community and Culture BA,3
Spanish and Linguistics BA,2
Spanish and Portuguese BA,2
History BA,2
Human Biology and Society BA,1
Human Biology and Society BS,2
International Development Studies BA,17
Iranian Studies BA,6
Jewish Studies BA,14
Middle Eastern Studies BA,16
Italian BA,1
Italian and Special Fields BA,21
Latin American Studies BA,14
Linguistics BA,5
Linguistics and Anthropology BA,5
Linguistics and Asian Languages and Cultures BA,1
Linguistics and Computer Science BA,4
Linguistics and English BA,3
Linguistics and French BA,2
Linguistics and Italian BA,3
Linguistics and Philosophy BA,2
Linguistics and Psychology BA,3
Linguistics and Scandinavian Languages BA,2
Linguistics and Spanish BA,2
Mechanical Engineering BS,8
Marine Biology BS,7
Materials Engineering BS,12
Mathematics BS,8
Mathematics/Applied Science BS,14
Mathematics for Teaching BS,5
Mathematics of Computation BS,5
Mathematics/Economics BS,4
"Microbiology, Immunology, and Molecular Genetics BS",14
"Molecular, Cell, and Developmental Biology BS",7
Music BA,1
Music Education BA,5
Musicology BA,5
Neuroscience BS,7
Nordic Studies BA,1
Nursing BS Prelicensure,8
Philosophy BA,1
Physiological Science BS,6
Political Science BA,2
Psychobiology BS,11
Psychology BA,1
Public Affairs BA,1
Russian Language and Literature BA,2
Russian Studies BA,4
Scandinavian Languages and Cultures BA,1
Sociology BA,3
Study of Religion BA,15
Theater BA,1
